"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1430",1192.23683239011,-1.14020786373113,0.287345026320618,-3.96807934465129,7.24542126375083e-05,0.00067083480791651
"g1255",874.521780714879,-1.31381445833388,0.331883588506002,-3.95866051782828,7.53712783775914e-05,0.000692997031749521
"g773",4010.89525066973,1.27376280307068,0.322572671767685,3.94876229313078,7.85563097381675e-05,0.000714732244471434
"g1426",162.728734840156,-1.68206378457479,0.426057306204151,-3.94797544856281,7.88148849643727e-05,0.000714732244471434
"g1123",11.1162154548091,5.12633336806468,1.30417432944244,3.93071175557971,8.4694761861856e-05,0.000762829011599302
"g1260",52.8746073378149,-2.38845972735861,0.608997842792035,-3.92195104732783,8.78348398684701e-05,0.000785765729634152
"g1691",2255.18779691967,1.21124704760458,0.310053478872821,3.90657460773539,9.36137476957406e-05,0.000831842966101749
"g555",174.524287724893,-2.69975255223706,0.694131256664431,-3.88939775628375,0.000100493295400863,0.000886910768803973
"g1364",281.515707700065,-1.69352086140557,0.435597087050326,-3.88781493667314,0.000101150699463293,0.000886910768803973
"g958",202.682384393918,3.50021587553205,0.904807731966012,3.86846370988299,0.000109523232645988,0.000954005000153208
"g1633",414.25147442258,-2.22041723125039,0.574219782528249,-3.86684210264239,0.000110253761708139,0.000954091375827293
"g1593",272.957284513665,2.2144072932169,0.574430276648326,3.8549627051998,0.000115747272837621,0.000995125904136433
"g1543",41.7605352613084,-3.29523596174642,0.856063661065527,-3.84928844853068,0.000118461443205521,0.00101189000518781
"g386",3326.91612332193,-2.69657317069031,0.701579437270872,-3.84357497873643,0.000121254930480464,0.00102911235869317
"g588",188.100468978432,-2.47574112149728,0.644720282122822,-3.84002363528195,0.000123022465919628,0.00103746334316935
"g554",3229.38341098661,-1.66264429284836,0.433291837132588,-3.83723890080944,0.000124425414127482,0.00104265347028346
"g1462",74.0601620863144,2.01051948109526,0.527166374796782,3.81382344780677,0.000136833237500393,0.00113941639277057
"g292",13.8858696297976,3.74181873795594,0.982382484087181,3.80892249054379,0.000139573698226616,0.00115497235282525
"g95",32.4350706774418,-2.5589562844931,0.674859368129784,-3.79183635189751,0.000149537444119141,0.00122214553094903
"g559",8.12857237121104,5.57772694239614,1.47063390063497,3.79273654713648,0.000148996206831209,0.00122214553094903
