"","Control_1","Control_2","Control_3","Heat_treated_42_12h_1","Heat_treated_42_12h_2","Heat_treated_42_12h_3"
"g318",531.352285018483,218.56678960225,271.53984499764,312.862552600778,164.269996447244,332.743031501012
"g319",4660.80603173602,3100.51285503276,4351.64499983315,4607.36117903557,5742.42979033529,3595.85446155604
"g320",140.742063978024,111.588951653469,95.4769132411058,232.806546494108,102.493245646571,158.653249555895
"g321",275.364907783091,177.066766260051,193.581631433802,72.6945342807689,63.1807678643247,124.349844246512
"g322",0,0,0,18.4036795647516,11.2321365092133,28.3003093802407
"g323",317.179578964968,353.211309779163,309.205049303765,338.62770399143,329.94400995814,432.222906898221
"g324",322.278929109099,200.122334783495,425.704402157591,632.166393049218,411.376999649937,427.077396101814
"g325",519.113844672568,480.478048028575,681.477417445691,1230.28597890365,797.481692154144,949.346741937165
"g326",0,1.84444548187553,1.75186996772671,123.304653083836,95.473160328313,107.198141591821
"g327",128.503623632109,199.200112042557,183.946346611305,93.8587657802333,116.533416283088,67.7492254860307
"g328",2.03974005765253,7.37778192750211,1.75186996772671,41.4082790206911,32.2923924639882,25.727553982037
"g329",0,8.30000466843987,10.5112198063603,13.8027596735637,7.02008531825831,33.4458201766481
"g331",1.01987002882626,2.76666822281329,7.00747987090685,0,0,5.1455107964074
"g332",21.4172706053515,50.722250751577,30.6577244352175,0,0,6.86068106187653
"g333",87.7088224790586,162.311202405046,159.420167063131,5.52110386942549,4.21205119095498,21.4396283183642
"g334",184.596475217554,385.489105711985,334.607163835802,45.0890149336415,87.049057946403,90.0464389371295
"g335",1337.04960779123,182.600102705677,302.197569432858,120.544101149123,35.1004265912915,703.219808842344
"g337",22.4371406341778,22.1333457825063,22.7743095804473,21.1642314994644,29.4843583366849,24.8699688493024
"g338",252.927767148913,201.96678026537,242.63399053015,242.008386276484,287.823498048591,277.857583005999
"g339",925.02211614542,1248.68959122973,1329.66930550457,2153.23050907594,3140.78617138877,1103.71206582939
"g340",2056.05797811375,3677.8242908598,3973.24108680418,3554.67070793178,5298.76039822137,2328.34363537435
"g341",16.3179204612202,453.73358854138,269.787975029914,13.8027596735637,5.61606825460664,26.5851391147716
"g342",1.01987002882626,20.2889003006308,10.5112198063603,0,2.80803412730332,0.857585132734566
"g343",268.225817581307,599.444781609546,497.531070834386,118.703733192648,137.593672237863,228.117645307395
"g345",1.01987002882626,5.53333644562658,3.50373993545343,0,0,2.5727553982037
"g347",281.484127956048,141.100079363478,107.740003015193,54.2908547160173,47.7365801641565,90.904024069864
"g348",531.352285018483,202.889003006308,194.457566417665,114.10281330146,98.2811944556163,169.801856281444
"g349",509.935014413131,442.666915650126,466.873346399169,297.219424970739,235.874866693479,283.003093802407
"g350",132.583103747414,128.188960990349,141.025532402,110.42207738851,113.725382155785,208.3931872545
"g351",199.894525649947,822.622684916485,642.936278155703,116.863365236173,99.6852115192679,169.801856281444
"g352",646.59759827585,841.989362476178,1602.08508548608,5916.78298006765,10194.5678991747,21790.3806376526
"g354",6.11922017295758,9.22222740937764,12.263089774087,3.68073591295032,15.4441877001683,7.7182661946111
"g355",6.11922017295758,11.9888956321909,8.75934983863356,3.68073591295032,11.2321365092133,0.857585132734566
"g356",53.0332414989657,148.47786129098,145.405207321317,67.1734304113434,134.785638110559,85.7585132734566
